 l	b	Vlsr	...
 23.71  -0.20    76.5  swa+04    0.77   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   10.7    4.5    61.4   10.2    4.3    59.5   10.9   4.6     62.2 
 23.82   0.22   107.4    ab09    0.80   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09    9.4    3.8    55.9    9.0    3.6    54.3    9.7   3.9     57.1 
 23.90  -0.10    73.8  pbd+03    1.10   2.70  pbd+03  -100000    -100000  -100000     kfar    pdd04   10.8    4.6    68.2   10.3    4.4    66.1   10.9   4.7     68.6 
 23.96   0.15    78.9    ab09    2.70   2.70  pbd+03   2.5    0.4    cf08    knear    ab09    4.9    4.5    34.7  -100000   -100000     34.7  -100000   -100000     34.7 
 24.13  -0.07    86.9    ab09    0.40   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09   10.2    4.3    46.9    9.7    4.1    45.4   10.4   4.4     47.5 
 24.14   0.12   114.5    ab09    0.50   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09    8.9    3.7    46.1    8.6    3.5    45.1    9.4   3.8     47.8 
 24.19   0.20   111.9    ab09    0.60   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09    9.1    3.7    49.7    8.7    3.6    48.2    9.5   3.9     51.1 
 24.20  -0.10    83.6  pbd+03    0.80   2.70  pbd+03  -100000    -100000  -100000     kfar    pdd04   10.4    4.4    59.8    9.8    4.2    57.5   10.5   4.5     60.2 
 24.39   0.07   110.0    ab09    2.80   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09    9.1    3.8    83.1    8.8    3.6    81.3    9.5   3.9     85.5 
 24.47   0.49    99.8    ab09   13.00   2.70  pbd+03  -100000    -100000  -100000     knear    ab09    5.8    4.0   102.6    5.4    3.8    97.8    5.4   4.2     97.8 
 24.48   0.21   115.7    ab09   18.00   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09    8.8    3.7   151.1    8.5    3.5   147.6    9.3   3.8    156.8 
 24.50  -0.04   108.1    ab09    0.90   4.86  swa+04  -100000    -100000  -100000     kfar     ab09    9.2    3.8    58.5    8.8    3.7    56.8    9.6   4.0     60.2 
 24.51  -0.22    44.3    ab09    4.19   4.85     PMN  -100000    -100000  -100000     knear    ab09    3.2    5.7    48.3    3.0    5.4    46.3    3.1   5.8     47.3 
 24.51  -0.22    96.4    ab09   19.00   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09    9.8    4.1   165.2    9.3    3.9   159.5   10.0   4.2    167.4 
 24.68  -0.16    44.0    ab09    4.91   4.85     PMN  -100000    -100000  -100000     knear    ab09    3.2    5.7    50.9    3.0    5.4    48.8    3.1   5.9     49.8 
 24.68  -0.16   111.1    ab09    9.90   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09    9.0    3.8   125.6    8.7    3.6   122.8    9.4   3.9    129.3 
 24.70  -0.10   101.1  pbd+03   23.40   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    5.9    4.0   126.3    5.4    3.8   119.1    5.4   4.2    119.1 
 24.70  -0.20    84.8  pbd+03    3.20   2.70  pbd+03   2.2    0.25   rus03  -100000    -100000    -100000   -100000     33.7  -100000   -100000     33.7  -100000   -100000     33.7 
 24.81   0.10   108.6    ab09   13.30   2.70  pbd+03  -100000    -100000  -100000     knear    ab09    6.3    3.8   109.3    5.8    3.7   103.4    5.7   4.1    102.2 
 25.16   0.06    47.0    ab09    0.80   2.70  pbd+03  -100000    -100000  -100000     knear    ab09    3.4    5.7    28.4    3.1    5.3    26.7    3.2   5.8     27.3 
 25.26  -0.32    63.7    ab09    2.00   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09   11.2    5.0    85.3   10.6    4.8    82.2   11.2   5.1     85.3 
 25.30   0.30    40.3  pbd+03    2.30   2.70  pbd+03   2.2    0.25   rus03  -100000    -100000    -100000   -100000     30.2  -100000   -100000     30.2  -100000   -100000     30.2 
 25.40  -0.14    98.4    ab09   16.19   4.85     PMN  -100000    -100000  -100000     knear    ab09    5.8    4.1   112.6    5.3    3.9   106.0    5.3   4.3    106.0 
 25.40  -0.30    62.5  pbd+03    1.60   2.70  pbd+03  -100000    -100000  -100000     kfar    pdd04   11.2    5.1    79.2   10.6    4.8    76.3   11.3   5.1     79.7 
 25.40  -0.20    59.1  pbd+03   26.00   2.70  pbd+03  -100000    -100000  -100000     kfar    pdd04   11.4    5.2   202.9   10.8    4.9   195.7   11.4   5.2    202.9 
 25.40   0.00   -13.7  pbd+03    1.40   2.70  pbd+03  -100000    -100000  -100000     kout     hh09   17.2   10.2   100.8   15.9    9.4    95.7   16.4   9.4     97.6 
 25.70   0.00    56.3  pbd+03    2.60   2.70  pbd+03  -100000    -100000  -100000     kfar    pdd04   11.5    5.3    94.7   10.9    5.0    91.4   11.5   5.3     94.7 
 25.77   0.21   110.8    ab09    2.28   4.86  swa+04  -100000    -100000  -100000     knear    ab09    6.5    3.9    63.2    5.9    3.7    59.2    5.9   4.1     59.2 
 25.79  -0.14   119.5  swa+04    0.42   4.86  swa+04  -100000    -100000  -100000     ktan   swa+04    7.7    3.7    40.3  -100000   -100000   -100000    -100000   -100000  -100000    
