No	Name	PK		S5GHz	Diam	Ref	Tb	DMi	DTb	Df	D(VSZ)
187	K3-14	042+051 	4.8 	1.0 	2 	339.26	16.31	17.03	16.67	16.20
188	NGC6807	042-061 	29.0 	0.8 	2	3202.70 	7.94	10.38 	9.16 	9.24
189	NGC6852	042-141 	20.0 	28.0 	7 	1.80 	5.23 	3.25 	4.24 	 
190	M1-65	043+031 	23.0 	4.0 	8 	101.60 	6.75 	6.26 	6.51 	6.28
191	M3-27	043+111 	53.2 	1.0 	7	3760.20 	5.94 	7.89 	6.91 	 
192	NGC6210	043+371 	311.0 	16.2 	4 	83.76 	1.81 	1.64 	1.73 	1.63
193	M4-14	043-031 	8.0 	7.0 	3 	11.54 	9.61 	7.18 	8.40 	7.57
194	A67	043-131 	6.8 	67.0 	7 	0.11 	7.15 	3.35 	5.25 	 
195	K3-33	045-011 	17.0 	1.1 	2 	993.02 	9.44	10.98	10.21	10.12
196	Vy2-2	045-021 	50.0 	0.7 	1	8113.00 	6.52 	9.34 	7.93 	 
197	NGC6804	045-041 	135.0 	40.4 	1 	5.85 	2.21 	1.55 	1.88 	1.66
198	PB9	046-031 	40.0 	9.0 	2 	34.90 	4.70 	3.92 	4.31 	3.99
199	NGC6803	046-041 	114.0 	5.6 	1 	256.94 	3.27 	3.32 	3.29 	3.19
200	A39	047+421 	5.7	174.0 	7 	0.01 	6.60 	2.52 	4.56 	 
201	A62	047-041 	522.4	161.0 	7 	1.42 	1.00 	0.61 	0.81 	 
202	He2-429	048+011 	64.9 	4.2 	7 	260.04 	4.33 	4.42 	4.37 	 
203	K3-29	048+012 	65.0 	1.0 	2	4594.20 	5.46 	7.40 	6.43 	6.78
204	K3-19	048+041 	23.0 	1.2 	2	1128.90 	8.20 	9.66 	8.93 	8.87
205	K4-16	048+042 	3.0 	3.0 	7 	23.56	16.64	13.33	14.99 	 
206	PB10	048-021 	50.0 	8.0 	2 	55.22 	4.36 	3.81 	4.08 	3.83
207	HE2-428	049+021 	7.0 	8.0 	3 	7.73 	9.95 	7.14 	8.55 	7.61
208	H4-1	049+881 	1.3 	3.0 	7 	10.21	23.65	17.42	20.53 	 
209	M1-67	050+031 	250.0	120.4 	7 	1.22 	1.43 	0.86 	1.14 	 
210	K4-28	050-011 	19.0 	0.6 	7	3730.30 	9.94	13.18	11.56 	 
211	He2-430	051+031 	40.0 	1.7 	2 	978.27 	6.14 	7.14 	6.64 	6.58
212	Hu2-1	051+091 	110.0 	1.8 	2	2399.60 	3.98 	5.06 	4.52 	4.54
213	M1-73	051-031 	43.0 	6.0 	3 	84.42 	4.86 	4.43 	4.65 	4.40
214	K3-31	052+022 	39.0 	1.5 	7	1225.10 	6.34 	7.53 	6.93 	6.88
215	K3-41	052-021 	1.7 	0.5 	2 	480.62	28.20	30.47	29.34	28.69
216	Me1-1	052-022 	45.1 	4.7 	8 	144.30 	4.96 	4.76 	4.86 	4.69
217	M1-74	052-041 	29.0 	1.0 	3	2049.70 	7.66 	9.58 	8.62 	8.64
218	A59	053+031 	18.0 	86.0 	7 	0.17 	4.56 	2.24 	3.40 	 
219	K3-38	053-011 	31.0 	4.7 	3 	99.19 	5.80 	5.37 	5.59 	5.30
220	M1-72	054-021 	30.0 	0.6 	2	5890.00 	8.20	11.39 	9.80 	 
221	NGC6891	054-121 	105.0 	12.6 	1 	46.75 	2.97 	2.55 	2.76 	2.58
222	He2-432	055+021 	32.0 	2.3 	2 	427.55 	6.43 	6.88 	6.65 	6.50
223	He2-433	055+022 	14.0 	8.0 	3 	15.46 	7.44 	5.72 	6.58 	5.97
224	He2-435	055+023 	15.0 	4.7 	3 	47.99 	7.87 	6.78 	7.32 	6.84
225	A54	055+061 	2.5 	56.0 	7 	0.06	11.21 	4.93 	8.07 	 
226	A46	055+161 	5.0 	63.4 	7 	0.09 	8.21 	3.77 	5.99 	 
227	He2-439	055-001 	204.0 	2.9 	3	1714.50 	2.84 	3.50 	3.17 	3.17
228	K3-35	056+021 	60.0 	1.7 	2	1467.40 	5.18 	6.27 	5.73 	6.58
229	K3-42	056-001 	19.0 	1.2 	2 	932.58 	8.89	10.27 	9.58 	9.48
230	NGC6804	056-041 	135.0 	40.4 	7 	5.85 	2.21 	1.55 	1.88 	1.66
231	K4-30	057+011 	21.0 	2.5 	2 	237.48 	7.57 	7.64 	7.60 	7.35
232	He2-447	057-011 	60.0 	1.2 	2	2945.00 	5.48 	7.11 	6.30 	6.34
