ID   	l		b		Name   	PK	HelioVel(km/s) HelioVelUncert(km/s)
275	028.5568	+05.1817	K3-2 	28+ 5 1 	41.0 	5.2
276	028.5968	+01.6566	M2-44 	28+ 1 1 	106.0	40.0
277	028.7921	-03.9054	Pe1-21 	28- 3 1 	-20.0	15.0
278	029.2111	-00.0690	TDC1 	  	-55.0	60.0
279	029.2287	-05.9415	NGC6751 	29- 5 1 	-38.9 	1.7
280	029.8375	-07.8641	LSA1 	  	89.0	15.0
281	031.0651	-10.8976	M3-34 	31-10 1 	48.3 	9.7
282	032.1084	+07.0742	PC19 	32+ 7 2 	20.0	40.0
283	032.7838	-02.0418	M1-66 	32- 2 1 	27.9	14.0
284	032.9172	-02.8644	K3-19 	32- 2 2 	3.5	20.0
285	033.1590	-06.3880	NGC6772 	33- 6 1 	0.0 	3.9
286	033.8076	-02.6920	NGC6741 	33- 2 1 	41.3 	1.4
287	034.5905	-06.7297	NGC6778 	34- 6 1 	91.0 	3.0
288	034.6238	+11.8480	NGC6572 	34+11 1 	-10.1 	0.3
289	036.0535	-01.3673	Sh2-71 	36- 1 1 	24.7 	3.0
290	036.0625	+17.6201	A43 	36+17 1 	-42.0	11.5
291	036.1611	-57.1191	NGC7293 	36-57 1 	-28.2 	3.0
292	037.7619	-34.5712	NGC7009 	37-34 1 	-46.6 	0.6
293	037.8941	-06.3096	NGC6790 	37- 6 1 	40.4 	1.7
294	038.1174	-25.4626	A70 	38-25 1 	-79.0	18.0
295	038.2577	+12.0842	Cn3-1 	38+12 1 	-11.2	17.9
296	038.7303	-03.3271	M1-69 	38- 3 2 	7.0	40.0
297	039.5867	-02.7916	M2-47 	39- 2 1 	22.9	14.0
298	041.8421	-02.9878	NGC6781 	41- 2 1 	4.3 	3.7
299	042.5904	-14.5276	NGC6852 	42-14 1 	-11.0 	5.0
300	042.9690	-06.9201	NGC6807 	42- 6 1 	-67.7 	3.3
301	043.0889	-03.0435	M4-14 	43- 3 1 	31.7	15.0
302	043.1091	+37.7592	NGC6210 	43+37 1 	-36.2 	1.1
303	043.1987	+03.8100	M1-65 	43+ 3 1 	3.7	15.0
304	043.3557	+11.6981	M3-27 	43+11 1 	-6.0	40.0
305	045.4971	-02.7021	Vy2-2 	45- 2 1 	-71.2 	4.0
306	045.7489	-04.5894	NGC6804 	45- 4 1 	-12.0 	3.8
307	046.4448	-04.1246	NGC6803 	46- 4 1 	12.9 	2.3
308	048.7715	+01.9926	He2-429 	48+ 1 1 	-0.8	12.0
309	049.3425	+88.1479	H4-1 	49+88 1	-141.0	12.0
310	051.3617	+01.8143	PM1-295 	51+ 1 1 	13.0	50.0
311	051.4835	+09.6846	Hu2-1 	51+ 9 1 	14.0 	3.1
312	051.9068	-03.8672	M1-73 	51- 3 1 	-13.8	11.5
313	052.2206	-04.0114	M1-74 	52- 4 1 	32.4	17.9
314	052.5423	-02.9603	Me1-1 	52- 2 2 	-6.0 	7.0
315	053.3546	+24.0594	Vy1-2 	53+24 1	-102.0 	4.0
316	054.1969	-12.1129	NGC6891 	54-12 1 	42.3 	1.1
317	055.5073	-00.5578	M1-71 	55- 0 1 	24.7	12.3
318	057.2277	-08.9176	NGC6879 	57- 8 1 	9.0 	6.6
319	058.3296	-10.9792	IC4997 	58-10 1 	-66.2 	1.3
320	059.7940	-18.7294	A72 	59-18 1 	-58.6	23.0
321	060.1384	-07.7328	NGC6886 	60- 7 2 	-35.8	21.1
322	060.3322	-07.3918	He1-5 	60- 7 1 	38.9 	4.8
323	060.8365	-03.6966	NGC6853 	60- 3 1 	-41.8 	0.8
324	061.4915	-09.5712	NGC6905 	61- 9 1 	-8.4 	1.7
325	061.7927	+02.1107	He2-442 	61+ 2 1 	38.7	15.0
326	062.4596	+09.5573	NGC6765 	62+ 9 1 	-60.0	17.9
327	063.1697	+13.9756	NGC6720 	63+13 1 	-19.2 	0.7
328	064.6680	+48.2997	NGC6058 	64+48 1 	2.7 	3.3
329	064.7854	+05.0194	BD+30363 	64+ 5 1 	-31.4 	0.8
